,Datos,Valores,
0,Numero de pisos del edifico,5,0
1,Area de celda dovelas (m2),0.005675,1
2,Area celda de division intermedia (m2),0.0034,2
3,Area bloque sin celdas (m2),0.02325,3
4,Longitud bloque de mamposteria  completo (cm),30,4
5,Ancho bloque de  mamposteria completo (cm),15,5
6,Longitud medio bloque de mamposteria  (cm),15,6
7,Ancho medio  bloque de  mamposteria (cm),15,7
8,f'm ( resistencia a la compresion mamposteria) (MPa),13.3,8
9,fy (Resistencia a fluencia del acero) (Mpa),170,9
10,?m ( deformacion unitaria maxima de la mamposteria bloque de arcilla),0.003,10
11,h' (altura efectiva del elemento para evaluar pandeo) (mm),2000,11
12,Espesor mortero de pega ( entre bloques- vertical) (cm),1,12
13,Espesor mortero de pega ( entre hiladas de bloques - horizontal ) (cm),3,13
14,% de celdas para dovelas rellenas con mortero,0.5,14
15,? vertical minimo,0.0007,15
16,? horizontal minimo,0.0007,16
17,? minima (horizontal + vertical),0.002,17
18,numero de celdas bloques completos,2,18
19,numero de celdas  medio bloques ,1,19
20,area de la barra a usar  (cm2),1.29,20
21,espacio entre celdas (bloque compleo) (cm),16,21
22,espacio celda a pared de bloque (bloque compleo) (cm),7,22
23,espacio celda a pared de bloque (bloque medio) (cm),8,23
24,E modulo de elasticidad acero (Mpa),200000,24
